Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,19.29231,4351,83.9409
Ponorogo,65.07325,5799,377.3332
Trenggalek,19.63082,5524,108.44562
Tulungagung,36.68903,5844,214.39813
Blitar,34.79497,5657,196.84753
Kediri,36.36362,5938,215.91341
Malang,46.12103,5949,274.38982
Lumajang,53.78148,5405,290.68821
Jember,121.60587,4854,590.26337
Banyuwangi,83.99278,5606,470.83263
Bondowoso,54.20966,4815,261.01848
Situbondo,30.5293,5239,159.92819
Probolinggo,36.92553,5216,192.60006
Pasuruan,53.12708,5137,272.93627
Sidoarjo,34.32114,6093,209.10993
Mojokerto,54.50465,5737,312.68637
Jombang,55.79312,6151,343.1639
Nganjuk,71.15501,6140,436.88405
Madiun,73.00003,6110,446.05238
Magetan,46.82162,6601,309.05307
Ngawi,125.90827,6654,837.77315
Bojonegoro,135.63502,5374,728.91512
Tuban,92.34172,5491,507.05388
Lamongan,148.0309,5986,886.06099
Gresik,67.0108,6084,407.71663
Bangkalan,44.04757,4706,207.29489
Sampang,37.79237,5073,191.73547
Pamekasan,20.17012,5048,101.82744
Sumenep,42.7541,5356,228.98021
Kota Kediri,1.68621,6099,10.28381
Kota Blitar,77127,6838,5.27424
Kota Malang,1.73853,6743,11.72375
Kota Probolinggo,1.44975,5203,7.54319
Kota Pasuruan,1.64868,6135,10.11521
Kota Mojokerto,73326,6085,4.46178
Kota Madiun,2.31368,6555,15.16653
Kota Surabaya,1.86564,5970,11.13805
Kota Batu,75011,6650,4.9884
Jawa Timur,"1.754.380,30",5668,"9.944.538,26"
