Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,20.50449,4484,91.94166
Ponorogo,58.08019,5548,322.2055
Trenggalek,20.47489,5481,112.21357
Tulungagung,34.58426,5680,196.43058
Blitar,36.19394,6190,224.02719
Kediri,39.44875,5649,222.83782
Malang,48.39775,5808,281.07226
Lumajang,53.4664,5310,283.89422
Jember,123.59119,4991,616.85841
Banyuwangi,81.55277,5460,445.25386
Bondowoso,53.45886,4702,251.37194
Situbondo,30.22588,5547,167.66554
Probolinggo,39.46438,4910,193.7745
Pasuruan,53.78866,5010,269.46305
Sidoarjo,34.28725,6848,234.78811
Mojokerto,54.99337,6178,339.75588
Jombang,56.13802,6132,344.23634
Nganjuk,65.06604,6145,399.84568
Madiun,68.01465,6165,419.29244
Magetan,42.23151,6172,260.67135
Ngawi,122.50097,6344,777.19036
Bojonegoro,128.86383,5371,692.07316
Tuban,91.19972,5701,519.93436
Lamongan,140.46358,5978,839.72443
Gresik,61.64305,5965,367.71766
Bangkalan,39.85438,5059,201.62
Sampang,33.05204,4727,156.21952
Pamekasan,20.16917,4527,91.31332
Sumenep,38.41197,4845,186.09084
Kota Kediri,1.39604,5038,7.03299
Kota Blitar,91172,6674,6.08458
Kota Malang,2.01948,6888,13.9097
Kota Probolinggo,1.40228,5110,7.1652
Kota Pasuruan,2.05526,5257,10.80471
Kota Mojokerto,70093,5087,3.56588
Kota Madiun,1.30228,6342,8.25939
Kota Surabaya,1.72445,5565,9.59678
Kota Batu,79196,6353,5.0311
Jawa Timur,"1.702.426,36",5628,"9.580.933,88"
