Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,17.9234,5188,92.99264
Ponorogo,66.59455,5901,392.99408
Trenggalek,22.04936,5210,114.87453
Tulungagung,40.23866,5853,235.50211
Blitar,36.34017,6610,240.22441
Kediri,31.26833,5870,183.53376
Malang,43.91859,6361,279.36591
Lumajang,55.12879,5599,308.64608
Jember,120.18787,5131,616.72577
Banyuwangi,75.06248,6059,454.76846
Bondowoso,50.36498,4920,247.77874
Situbondo,27.91732,5634,157.27325
Probolinggo,35.12169,5724,201.04434
Pasuruan,48.99914,5307,260.06194
Sidoarjo,31.03046,6312,195.85535
Mojokerto,53.46215,5666,302.89075
Jombang,56.76271,6111,346.87345
Nganjuk,72.03949,5804,418.09611
Madiun,74.78495,5851,437.59308
Magetan,44.424,6316,280.59209
Ngawi,124.92292,6174,771.25137
Bojonegoro,132.71202,5320,705.96263
Tuban,84.11563,5965,501.74112
Lamongan,139.70481,5717,798.70485
Gresik,66.20261,6305,417.42858
Bangkalan,38.01182,4900,186.25796
Sampang,34.79554,4805,167.19135
Pamekasan,19.88436,5456,108.48314
Sumenep,42.43297,5133,217.81048
Kota Kediri,1.51969,5443,8.27157
Kota Blitar,78657,7166,5.63668
Kota Malang,1.63288,6319,10.31857
Kota Probolinggo,1.30944,5729,7.50206
Kota Pasuruan,1.3747,5834,8.02003
Kota Mojokerto,62048,5307,3.29278
Kota Madiun,2.20448,5520,12.16962
Kota Surabaya,1.50601,5358,8.06888
Kota Batu,72729,6686,4.86281
Jawa Timur,"1.698.083,31",5719,"9.710.661,33"
