Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,14.60285,4770,69.65098
Ponorogo,63.3956,5982,379.24491
Trenggalek,18.23946,5749,104.85935
Tulungagung,34.16799,6287,214.82077
Blitar,30.78976,5559,171.15402
Kediri,30.49657,5708,174.0722
Malang,41.01997,6211,254.79372
Lumajang,47.55388,5407,257.12065
Jember,120.06941,5191,623.26488
Banyuwangi,67.24056,5884,395.63138
Bondowoso,50.60962,5127,259.47768
Situbondo,29.93508,5420,162.23682
Probolinggo,33.17795,5353,177.60738
Pasuruan,51.087,5429,277.35451
Sidoarjo,32.10011,6510,208.9867
Mojokerto,47.29606,6041,285.71444
Jombang,55.36946,6182,342.29132
Nganjuk,69.68557,5811,404.97509
Madiun,73.41994,5958,437.45825
Magetan,43.40462,6272,272.24605
Ngawi,123.07568,6221,765.70353
Bojonegoro,131.22056,5415,710.52718
Tuban,84.21169,6211,523.06749
Lamongan,130.67042,5941,776.29066
Gresik,54.05745,6085,328.95953
Bangkalan,39.55455,4782,189.1619
Sampang,33.06893,4413,145.93175
Pamekasan,19.63762,5169,101.50142
Sumenep,36.76147,5155,189.49969
Kota Kediri,1.32815,6319,8.39291
Kota Blitar,57404,6484,3.72217
Kota Malang,1.61091,6516,10.49665
Kota Probolinggo,1.39107,6106,8.49414
Kota Pasuruan,1.57489,5502,8.66529
Kota Mojokerto,57110,6040,3.44963
Kota Madiun,2.19008,5758,12.61042
Kota Surabaya,1.32175,5554,7.34042
Kota Batu,50325,7272,3.65941
Jawa Timur,"1.616.985,05",5733,"9.270.435,29"
