Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,18.89401,4664,88.11657
Ponorogo,68.74109,5887,404.66504
Trenggalek,22.49195,5178,116.45634
Tulungagung,39.85076,5970,237.91696
Blitar,38.6406,6402,247.36627
Kediri,35.11322,5645,198.22201
Malang,45.34449,6028,273.35861
Lumajang,56.67126,5207,295.07552
Jember,124.02777,4964,615.69787
Banyuwangi,89.1252,5761,513.49007
Bondowoso,51.62095,5016,258.95146
Situbondo,30.38814,4974,151.15712
Probolinggo,37.04319,5134,190.18014
Pasuruan,50.30551,5267,264.95078
Sidoarjo,32.58619,6214,202.5014
Mojokerto,51.25822,5795,297.04232
Jombang,54.96844,5946,326.82664
Nganjuk,72.43986,5926,429.31101
Madiun,75.71329,6099,461.79812
Magetan,48.48759,6337,307.27968
Ngawi,128.73795,6109,786.47565
Bojonegoro,134.60922,5007,674.002
Tuban,88.04964,5558,489.41862
Lamongan,138.45043,5725,792.66209
Gresik,61.39439,6184,379.66619
Bangkalan,42.11004,4638,195.32329
Sampang,38.15191,5127,195.60069
Pamekasan,18.92574,5111,96.72397
Sumenep,40.29859,5508,221.97941
Kota Kediri,1.7353,5495,9.53486
Kota Blitar,88495,6546,5.7933
Kota Malang,1.79143,6314,11.3114
Kota Probolinggo,1.53083,5830,8.92408
Kota Pasuruan,1.55382,5345,8.30459
Kota Mojokerto,75427,5853,4.41493
Kota Madiun,2.22949,6058,13.50581
Kota Surabaya,1.73608,5664,9.83267
Kota Batu,82539,6967,5.75019
Jawa Timur,"1.747.481,20",5602,"9.789.587,67"
