Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,19.31199,4644,89.68444
Ponorogo,63.4436,5946,377.26318
Trenggalek,22.73251,5304,120.57463
Tulungagung,34.91988,6211,216.88462
Blitar,37.10196,6042,224.17863
Kediri,37.00878,5940,219.83483
Malang,50.37407,5718,288.0199
Lumajang,56.6172,5488,310.73682
Jember,125.13586,5504,688.80935
Banyuwangi,84.36077,6099,514.52878
Bondowoso,49.79908,5097,253.83528
Situbondo,31.62251,5552,175.55517
Probolinggo,38.41547,4596,176.57562
Pasuruan,52.5624,5754,302.46649
Sidoarjo,37.27674,6658,248.20092
Mojokerto,52.44583,6061,317.87385
Jombang,63.30084,6221,393.77329
Nganjuk,65.53942,6033,395.38512
Madiun,69.13272,5858,404.9531
Magetan,45.51431,6360,289.45837
Ngawi,121.76076,6133,746.7626
Bojonegoro,134.77038,5584,752.5134
Tuban,95.85459,5886,564.24112
Lamongan,144.78198,6193,896.65291
Gresik,57.72164,6093,351.70239
Bangkalan,40.95748,5950,243.71173
Sampang,37.72393,5011,189.04008
Pamekasan,21.97778,5195,114.17946
Sumenep,46.19341,5591,258.28499
Kota Kediri,1.58185,6452,10.20556
Kota Blitar,75975,6412,4.87129
Kota Malang,1.85702,6381,11.85009
Kota Probolinggo,1.16541,4931,5.74701
Kota Pasuruan,1.81904,6513,11.84657
Kota Mojokerto,73032,5726,4.18215
Kota Madiun,1.36201,6230,8.48537
Kota Surabaya,2.68721,5386,14.47453
Kota Batu,87117,6738,5.86953
Jawa Timur,"1.751.191,67",5826,"10.203.213,17"
