Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Pacitan,26.774,4949,132.516
Ponorogo,74.2,5880,436.3
Trenggalek,27.943,5655,158.029
Tulungagung,39.342,6115,240.566
Blitar,35.796,6465,231.437
Kediri,34.198,5799,198.324
Malang,38.178,6453,246.37
Lumajang,50.052,5592,279.902
Jember,135.436,5017,679.514
Banyuwangi,75.65,5997,453.636
Bondowoso,56.112,4969,278.822
Situbondo,37.251,5347,199.165
Probolinggo,36.946,5308,196.116
Pasuruan,50.784,5401,274.285
Sidoarjo,29.004,6057,175.677
Mojokerto,51.751,6037,312.409
Jombang,71.349,6190,441.642
Nganjuk,76.989,5653,435.224
Madiun,82.826,5798,480.264
Magetan,50.411,6114,308.221
Ngawi,129.013,5988,772.571
Bojonegoro,160.748,5472,879.685
Tuban,96.992,5959,577.964
Lamongan,152.564,5768,879.994
Gresik,62.003,6058,375.591
Bangkalan,46.903,4771,223.789
Sampang,42.337,4486,189.903
Pamekasan,24.13,5444,131.369
Sumenep,35.77,5296,189.423
Kota Kediri,62800,5902,3.709
Kota Blitar,83700,7250,6.068
Kota Malang,1.301,6335,8.243
Kota Probolinggo,1.597,6320,10.092
Kota Pasuruan,1.355,5512,7.468
Kota Mojokerto,52400,5893,3.086
Kota Madiun,2.084,5706,11.889
Kota Surabaya,1.054,5764,6.075
Kota Batu,51300,5899,3.025
Jawa Timur,"1.841.346,00",5669,"10.438.361,00"
