kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Malang,2020,46121.03,59.49,5.949,274389.82,24.006557377049184,27.993169398907103,21.151639344262296,0,40,2769.5,7.566939890710382,234,132,3,73.3,0,0,1,20,12,38,1310.37,3.5802459016393446,1459.13,18.233825136612023,97.70491803278688,68.18032786885246,16.493715846994533,0,1
Lumajang,2020,53781.48,54.05,5.404999999999999,290688.21,25.710655737704915,29.360382513661207,23.083060109289622,0,3,3613.8,9.873770491803278,325,41,5,188.4,0,0,1,20,15,73,1270.7399999999998,3.4719672131147536,2343.06,17.340846994535518,96.17486338797814,71.6639344262295,12.20573770491803,0,1
Jember,2020,121605.87,48.54,4.854,590263.37,26.641803278688528,30.879234972677597,23.499453551912566,2,3,2069.6,5.6546448087431695,241,125,2,53.9,0,0,1,20,14,18,1385.42,3.785300546448088,684.1799999999998,17.89254098360656,94.7568306010929,62.05191256830601,11.072131147540984,0,0
Banyuwangi,2020,83992.78,56.06,5.606,470832.63,26.105737704918035,29.335245901639347,23.67349726775956,0,0,1783.6999999999998,4.8734972677595625,293,73,1,99.7,0,0,1,34,21,18,1380.25,3.771174863387978,403.4499999999998,18.7820218579235,95.46174863387978,68.91256830601093,13.389617486338798,0,0
Bondowoso,2020,54209.66,48.15,4.815,261018.48,25.592076502732244,30.041803278688523,22.399180327868848,4,4,1825.5,4.987704918032787,194,172,2,64.8,0,0,1,19,6,34,1501.34,4.102021857923497,324.1600000000001,18.83475409836065,92.36065573770492,59.05191256830601,14.23743169398907,0,0
Situbondo,2020,30529.3,52.39,5.239,159928.19,26.66748633879781,30.568579234972677,23.575956284153005,0,0,3091.9,8.447814207650273,212,154,8,147.3,1,0,2,13,10,49,1596.04,4.360765027322405,1495.86,20.075928961748637,91.57650273224044,60.04371584699454,14.315300546448086,0,0
Probolinggo,2020,36925.53,52.16,5.215999999999999,192600.06000000003,27.62650273224044,30.980054644808742,25.24781420765028,0,0,2457.2,6.713661202185792,192,174,6,85.2,1,0,2,16,8,49,1758.56,4.804808743169398,698.6399999999999,19.523387978142075,87.10928961748634,61.89890710382514,20.6655737704918,6,1
Pasuruan,2020,53127.08,51.37,5.137,272936.27,27.822950819672133,31.950819672131143,24.37896174863388,14,1,1987.4,5.430054644808744,174,192,1,64.5,0,0,1,16,6,45,1624.26,4.437868852459016,363.1400000000001,20.42653005464481,94.96174863387978,58.89344262295082,13.689890710382514,0,0
Sidoarjo,2020,34321.14,60.93,6.093,209109.93,27.36174863387978,30.846174863387976,24.38360655737705,0,0,2430.3,6.64016393442623,189,177,0,49.7,0,0,0,16,8,49,1579.75,4.316256830601093,850.5500000000002,19.889590163934425,95.45081967213116,61.71311475409836,15.5172131147541,0,0
Mojokerto,2020,54504.65,57.37,5.737,312686.37,27.21120218579235,32.330601092896174,23.44535519125683,61,1,2190.1,5.9838797814207645,206,160,3,99.6,1,0,2,16,6,70,1533.29,4.18931693989071,656.81,18.96983606557377,93.19125683060108,54.259562841530055,12.399726775956283,0,1
Jombang,2020,55793.12,61.51,6.151,343163.9,27.034972677595636,32.496721311475405,23.44644808743169,49,0,3198.7,8.739617486338798,223,143,4,239.5,1,0,2,15,6,95,1511.9,4.130874316939891,1686.7999999999995,18.874535519125683,95.67213114754098,55.0655737704918,11.714754098360658,0,1
Nganjuk,2020,71155.01000000001,61.4,6.14,436884.05,27.40983606557377,32.01693989071038,23.883879781420767,29,0,1926.0,5.262295081967213,175,191,3,154.8,1,0,2,15,6,31,1682.96,4.598251366120219,243.04,19.01603825136612,90.23497267759562,55.39890710382514,17.290983606557376,0,2
Madiun,2020,73000.03,61.1,6.11,446052.38,27.53114754098361,32.44398907103825,24.085792349726773,48,0,2019.6,5.518032786885246,203,163,1,77.0,0,0,1,17,12,36,1637.27,4.473415300546448,382.3299999999999,18.59393442622951,90.40710382513662,53.89890710382514,16.258196721311474,0,2
Magetan,2020,46821.62,66.01,6.601000000000001,309053.07,25.23770491803279,29.199180327868856,22.73196721311476,1,0,4828.8,13.19344262295082,232,134,29,161.1,6,2,4,18,9,69,1535.66,4.195792349726776,3293.1400000000003,18.7148087431694,90.42896174863388,61.98087431693989,16.485245901639345,0,2
Ngawi,2020,125908.27,66.54,6.654000000000001,837773.15,27.249726775956283,32.03551912568306,24.01666666666667,40,0,2738.8,7.483060109289618,226,140,4,76.4,0,0,1,21,9,51,1630.04,4.453661202185792,1108.7600000000002,18.86795081967213,90.5,56.69945355191257,16.518852459016394,0,2
Bojonegoro,2020,135635.02,53.74,5.3740000000000006,728915.12,27.37431693989071,32.08825136612022,23.95928961748634,52,0,2521.0999999999995,6.888251366120217,230,136,1,98.4,0,0,1,17,7,74,1522.1699999999998,4.158934426229508,998.9299999999996,18.24098360655737,93.34426229508196,57.185792349726775,14.129234972677594,0,1
Tuban,2020,92341.72,54.91,5.491,507053.88,27.045355191256828,30.860382513661207,24.14234972677596,0,0,2428.2,6.634426229508196,253,113,2,74.1,0,0,1,19,12,46,1529.9,4.180054644808744,898.2999999999997,19.39226775956284,93.57103825136612,61.84699453551912,14.505464480874316,0,0
Lamongan,2020,148030.9,59.86,5.986,886060.99,27.924043715846995,31.93196721311476,24.704918032786885,14,0,2033.2,5.555191256830601,211,155,0,36.4,0,0,0,15,9,33,1601.23,4.374945355191257,431.9699999999998,19.012131147540984,92.09289617486338,56.69125683060109,16.174043715846995,0,1
Gresik,2020,67010.8,60.84,6.0840000000000005,407716.63,27.693989071038253,30.877868852459013,25.040163934426232,2,0,1871.8,5.114207650273224,207,159,0,42.1,0,0,0,19,9,33,1565.7,4.277868852459017,306.10000000000014,19.06877049180328,92.12295081967213,60.63934426229508,16.69426229508197,0,1
Bangkalan,2020,44047.57,47.06,4.706,207294.89,27.05901639344262,30.45928961748634,24.485245901639345,0,0,2534.9,6.925956284153005,270,96,2,104.7,0,0,1,26,11,33,1534.56,4.192786885245901,1000.34,19.33669398907104,93.57377049180327,63.35245901639344,15.713934426229509,0,0
Sampang,2020,37792.37,50.73,5.073,191735.47,27.877322404371583,30.712295081967216,25.74234972677596,0,0,1750.5,4.782786885245901,193,173,0,34.3,0,0,0,18,6,45,1633.07,4.461939890710382,117.43000000000006,19.307786885245903,89.26229508196721,63.8551912568306,17.239890710382518,0,2
Pamekasan,2020,20170.12,50.48,5.048,101827.44,27.176775956284157,30.561475409836067,24.62814207650273,0,0,2033.4,5.555737704918033,186,180,0,38.6,0,0,0,17,8,45,1508.0100000000002,4.120245901639345,525.3899999999999,19.01081967213115,93.93989071038251,61.9207650273224,13.908196721311477,0,0
Sumenep,2020,42754.1,53.56,5.356,228980.21,27.16147540983606,30.39972677595628,24.72021857923497,0,0,2248.6,6.143715846994535,223,143,0,44.0,0,0,0,13,7,81,1580.96,4.319562841530055,667.6399999999999,20.00489071038251,94.16666666666669,64.31693989071039,14.18032786885246,0,1
Kota Kediri,2020,1686.21,60.99,6.099,10283.81,26.46147540983607,30.721584699453555,23.68114754098361,2,0,2414.8,6.5978142076502735,228,138,4,75.9,1,0,2,18,9,51,1508.08,4.1204371584699455,906.7200000000004,18.40136612021858,93.81967213114754,62.85245901639344,18.29344262295082,0,1
Kota Blitar,2020,771.27,68.38,6.837999999999999,5274.24,25.26174863387978,29.131693989071035,22.341256830601097,0,18,2728.2,7.454098360655737,250,116,5,129.2,1,0,2,23,10,38,1322.84,3.6143169398907102,1405.36,17.764289617486337,96.58743169398907,68.5327868852459,15.623497267759562,0,1
Kota Malang,2020,1738.53,67.43,6.743,11723.75,24.078142076502733,27.73879781420765,21.48032786885246,0,37,3157.1000000000004,8.625956284153007,226,140,7,71.9,0,0,1,24,9,41,1278.56,3.493333333333333,1878.5400000000004,17.508551912568304,96.48907103825135,67.20765027322405,10.538524590163936,0,2
Kota Probolinggo,2020,1449.75,52.03,5.203,7543.19,27.62650273224044,30.980054644808742,25.24781420765028,0,0,2457.2,6.713661202185792,192,174,6,85.2,1,0,2,16,8,49,1758.56,4.804808743169398,698.6399999999999,19.523387978142075,87.10928961748634,61.89890710382514,20.6655737704918,6,1
Kota Pasuruan,2020,1648.6799999999998,61.35,6.135,10115.21,27.822950819672133,31.950819672131143,24.37896174863388,14,1,1987.4,5.430054644808744,174,192,1,64.5,0,0,1,16,6,45,1624.26,4.437868852459016,363.1400000000001,20.42653005464481,94.96174863387978,58.89344262295082,13.689890710382514,0,2
Kota Mojokerto,2020,733.26,60.85,6.085,4461.78,27.975409836065573,33.423497267759565,24.164754098360653,100,0,2184.6000000000004,5.968852459016395,191,175,2,61.6,0,0,1,14,7,37,1605.17,4.385710382513661,579.4300000000003,19.06718579234973,93.37704918032787,50.778688524590166,13.54808743169399,0,2
Kota Madiun,2020,2313.6800000000003,65.55,6.555,15166.53,27.53114754098361,32.44398907103825,24.085792349726773,48,0,2019.6,5.518032786885246,203,163,1,77.0,0,0,1,17,12,36,1637.27,4.473415300546448,382.3299999999999,18.59393442622951,90.40710382513662,53.89890710382514,16.258196721311474,0,2
Kota Surabaya,2020,1865.64,59.7,5.970000000000001,11138.05,27.816666666666663,30.78715846994536,25.04371584699454,0,0,1988.8,5.433879781420765,206,160,0,44.0,0,0,0,13,7,49,1600.3200000000002,4.372459016393443,388.4799999999998,19.444535519125683,92.43169398907104,62.278688524590166,16.646721311475407,0,2
Kota Batu,2020,750.11,66.5,6.65,4988.400000000001,21.774590163934427,25.268032786885247,19.15601092896175,0,289,4340.199999999999,11.858469945355187,267,99,16,91.5,1,0,2,18,10,76,1217.69,3.3270218579234974,3122.509999999999,17.51814207650273,98.2431693989071,70.4535519125683,9.985792349726776,0,1
Pacitan,2021,18894.01,46.64,4.664,88116.56999999999,26.190684931506844,28.93397260273973,24.0827397260274,0,0,2741.2,7.51013698630137,256,109,6,121.8,0,0,1,25,13,27,1296.37,3.551698630136986,1444.83,17.740547945205478,94.24109589041096,74.10958904109589,15.089315068493152,0,1
Ponorogo,2021,68741.09,58.87,5.887,404665.04,26.87424657534246,31.25178082191781,23.66246575342465,2,1,2128.3,5.83095890410959,208,157,3,63.0,0,0,1,19,8,38,1534.9399999999998,4.20531506849315,593.3600000000004,18.333753424657534,91.4958904109589,59.3013698630137,17.311780821917807,0,1
Trenggalek,2021,22491.95,51.78,5.178,116456.34,25.51150684931507,28.876438356164385,23.053150684931506,0,1,2776.2,7.606027397260274,296,69,6,110.1,0,0,1,22,9,97,1223.79,3.352849315068493,1552.41,16.73778082191781,96.03013698630136,71.76986301369863,12.614520547945206,0,0
Tulungagung,2021,39850.76,59.7,5.970000000000001,237916.96,25.94684931506849,29.933698630136988,23.078082191780823,0,1,2351.5,6.442465753424657,289,76,4,91.1,0,0,1,29,11,49,1302.59,3.5687397260273976,1048.91,17.135260273972605,96.86575342465754,65.97808219178083,12.561369863013695,0,1
Blitar,2021,38640.6,64.02,6.401999999999999,247366.27,25.102465753424653,29.05232876712329,22.18301369863013,0,11,2944.2000000000003,8.066301369863014,257,108,5,165.0,1,0,2,18,10,48,1297.8,3.5556164383561644,1646.4000000000003,17.413479452054794,96.44109589041096,67.75890410958904,15.254520547945203,0,1
Kediri,2021,35113.22,56.45,5.6450000000000005,198222.01,25.949863013698632,29.77917808219178,23.491780821917807,0,0,4183.9,11.462739726027396,245,120,17,98.4,3,1,3,18,4,85,1410.37,3.864027397260274,2773.53,18.073424657534247,93.94520547945206,65.02465753424657,15.933972602739724,0,0
Malang,2021,45344.49,60.28,6.0280000000000005,273358.61,23.841643835616438,27.94410958904109,20.94958904109589,0,36,3049.3,8.354246575342465,250,115,5,189.3,1,0,2,22,10,38,1279.35,3.505068493150685,1769.9499999999998,17.83676712328767,97.96986301369864,67.36986301369863,15.714794520547944,0,1
Lumajang,2021,56671.26,52.07,5.207,295075.52,25.48027397260274,29.2413698630137,22.819726027397262,0,3,3309.0999999999995,9.066027397260273,323,42,5,71.0,0,0,1,23,17,48,1251.12,3.4277260273972607,2057.98,17.147972602739728,96.30958904109588,71.46849315068494,12.046027397260271,0,0
Jember,2021,124027.77,49.64,4.964,615697.87,26.325205479452052,30.55369863013698,23.19890410958904,0,4,2334.3,6.3953424657534255,245,120,2,76.3,0,0,1,19,10,39,1345.85,3.6872602739726026,988.4500000000004,17.57786301369863,94.76986301369864,63.12328767123287,11.306027397260277,0,0
Banyuwangi,2021,89125.20000000001,57.61,5.761,513490.07,25.915342465753422,29.227671232876716,23.438356164383563,0,0,1844.2,5.052602739726027,274,91,0,37.2,0,0,0,34,13,25,1372.7400000000002,3.760931506849316,471.4599999999998,18.685369863013698,95.2082191780822,68.54246575342465,13.064383561643837,0,1
Bondowoso,2021,51620.95,50.16,5.016,258951.46,25.202465753424654,29.69698630136987,22.035068493150685,0,9,2080.8,5.70082191780822,197,168,4,103.8,0,0,1,18,8,28,1454.1899999999998,3.984082191780821,626.6100000000004,18.703561643835613,92.83835616438355,60.01917808219178,15.095890410958903,0,1
Situbondo,2021,30388.14,49.74,4.974,151157.12,26.3854794520548,30.36767123287671,23.28794520547945,1,1,2842.0,7.786301369863014,217,148,4,82.4,1,0,2,14,8,84,1565.9,4.29013698630137,1276.1,19.938958904109587,92.17260273972605,60.12602739726027,14.283561643835617,0,0
Probolinggo,2021,37043.19,51.34,5.134,190180.14,27.4013698630137,30.77178082191781,24.934246575342467,0,0,1908.0,5.227397260273973,198,167,3,51.9,0,0,1,15,7,56,1713.4299999999998,4.694328767123287,194.57000000000016,19.5827397260274,87.71780821917808,62.08219178082192,20.33561643835617,3,1
Pasuruan,2021,50305.51,52.67,5.267,264950.78,27.556438356164374,31.66876712328767,24.16794520547945,5,1,1913.3,5.241917808219179,193,172,2,75.2,0,0,1,15,9,29,1610.63,4.41268493150685,302.6700000000001,20.449753424657537,95.08219178082192,59.54520547945206,14.219726027397265,0,1
Sidoarjo,2021,32586.19,62.14,6.214,202501.4,27.099178082191784,30.767671232876715,24.13260273972602,0,0,2573.4,7.05041095890411,206,159,2,59.2,0,0,1,12,6,75,1558.9900000000002,4.271205479452055,1014.41,19.979342465753422,96.0082191780822,61.4986301369863,15.274794520547944,0,1
Mojokerto,2021,51258.22,57.95,5.795,297042.32,26.907123287671237,32.086301369863016,23.22630136986301,57,3,2234.9,6.123013698630137,210,155,1,54.4,0,0,1,13,7,58,1488.55,4.078219178082192,746.3500000000001,18.65764383561644,92.63013698630137,55.0958904109589,12.123013698630135,0,1
Jombang,2021,54968.44,59.46,5.946,326826.64,26.675342465753424,32.161095890410955,23.13643835616438,37,2,3045.5,8.343835616438357,230,135,2,52.0,0,0,1,12,6,101,1477.73,4.048575342465753,1567.77,18.65490410958904,96.1041095890411,56.62465753424657,12.283835616438354,0,0
Nganjuk,2021,72439.86,59.26,5.926,429311.01,27.043013698630133,31.75123287671233,23.52493150684932,23,1,2039.7000000000005,5.588219178082192,204,161,1,52.2,0,0,1,12,7,75,1609.4299999999998,4.409397260273972,430.2700000000005,18.735835616438354,91.1917808219178,56.52054794520548,16.859452054794524,0,1
Madiun,2021,75713.29,60.99,6.099,461798.12,27.04082191780822,31.74383561643836,23.686027397260272,25,0,2315.6,6.344109589041096,221,144,1,58.7,0,0,1,20,10,28,1560.21,4.274547945205479,755.3899999999999,18.411780821917805,91.71506849315068,57.18082191780822,16.3427397260274,0,1
Magetan,2021,48487.59,63.37,6.337,307279.68,24.965479452054797,28.847123287671234,22.454794520547942,0,0,5283.9,14.476438356164383,245,120,31,135.5,9,4,6,21,7,77,1485.4699999999998,4.069780821917807,3798.43,18.547123287671237,91.24931506849316,62.98082191780822,15.460821917808222,0,1
Ngawi,2021,128737.95,61.09,6.109,786475.65,26.82684931506849,31.599178082191784,23.566849315068488,21,2,2641.9999999999995,7.23835616438356,244,121,3,72.0,0,0,1,17,7,58,1557.67,4.26758904109589,1084.3299999999997,18.642356164383564,92.05753424657534,58.08219178082192,16.162739726027397,0,1
Bojonegoro,2021,134609.22,50.07,5.007,674002.0,27.137260273972604,32.14191780821918,23.69945205479452,56,1,2336.0,6.4,238,127,0,43.3,0,0,0,14,7,67,1512.89,4.14490410958904,823.1100000000001,18.413205479452053,93.83287671232875,56.24657534246575,14.231780821917807,0,0
Tuban,2021,88049.64,55.58,5.558,489418.62,26.76684931506849,30.699178082191786,23.89205479452055,1,0,2580.8,7.070684931506849,248,117,1,53.4,0,0,1,20,8,61,1511.29,4.140520547945205,1069.5100000000002,19.39238356164384,93.48493150684932,62.13424657534247,14.82246575342466,0,0
Lamongan,2021,138450.43000000002,57.25,5.725,792662.0900000001,27.574246575342467,31.6172602739726,24.43616438356165,15,0,2233.0,6.117808219178082,226,139,0,40.3,0,0,0,14,7,77,1548.51,4.242493150684932,684.49,18.92923287671233,92.4958904109589,58.27945205479452,15.78,0,0
Gresik,2021,61394.39,61.84,6.184,379666.19,27.336986301369866,30.55780821917808,24.748219178082188,0,0,2028.3,5.556986301369864,222,143,1,87.6,0,0,1,15,8,77,1509.12,4.134575342465753,519.1800000000001,19.00082191780822,92.66301369863014,62.19178082191781,16.219452054794523,0,1
Bangkalan,2021,42110.04,46.38,4.638,195323.29,26.72301369863014,30.11616438356164,24.12493150684931,0,0,2726.5,7.46986301369863,284,81,2,55.8,0,0,1,19,10,56,1497.79,4.103534246575342,1228.71,19.37991780821918,94.02465753424656,64.43835616438356,15.983561643835616,0,0
Sampang,2021,38151.91,51.27,5.127000000000001,195600.69,27.70931506849315,30.711232876712323,25.44684931506849,0,0,1963.1,5.378356164383561,200,165,2,143.1,0,0,1,12,5,51,1629.66,4.4648219178082185,333.44000000000005,19.311479452054797,89.23835616438356,63.0,17.79041095890411,0,2
Pamekasan,2021,18925.74,51.11,5.111,96723.97,26.962191780821914,30.555342465753423,24.342739726027396,0,0,2226.2000000000003,6.099178082191782,197,168,5,63.0,0,0,1,12,6,72,1496.89,4.101068493150685,729.3100000000002,19.10835616438356,93.76986301369864,61.2958904109589,13.813424657534243,0,1
Sumenep,2021,40298.59,55.08,5.508,221979.41,26.870136986301365,30.273972602739725,24.281643835616435,0,0,2361.6,6.47013698630137,232,133,3,65.5,0,0,1,13,7,105,1549.92,4.2463561643835614,811.6799999999998,19.99326027397261,94.95890410958904,63.84109589041096,14.021369863013696,0,1
Kota Kediri,2021,1735.3,54.95,5.495,9534.86,26.266849315068495,30.547123287671237,23.46191780821918,0,0,2381.9,6.525753424657533,231,134,3,101.2,1,0,2,20,8,41,1474.0700000000002,4.03854794520548,907.8299999999996,18.203561643835616,93.87945205479453,62.75616438356165,18.07972602739726,0,1
Kota Blitar,2021,884.95,65.46,6.545999999999999,5793.3,25.102465753424653,29.05232876712329,22.18301369863013,0,11,2944.2000000000003,8.066301369863014,257,108,5,165.0,1,0,2,18,10,48,1297.8,3.5556164383561644,1646.4000000000003,17.413479452054794,96.44109589041096,67.75890410958904,15.254520547945203,0,1
Kota Malang,2021,1791.43,63.14,6.314,11311.4,23.908767123287674,27.69506849315068,21.293972602739725,0,19,3332.4,9.12986301369863,237,128,9,103.2,1,0,2,18,6,66,1252.34,3.4310684931506845,2080.0600000000004,17.234465753424658,96.46575342465754,67.27945205479452,10.42,0,0
Kota Probolinggo,2021,1530.83,58.3,5.83,8924.08,27.4013698630137,30.77178082191781,24.934246575342467,0,0,1908.0,5.227397260273973,198,167,3,51.9,0,0,1,15,7,56,1713.4299999999998,4.694328767123287,194.57000000000016,19.5827397260274,87.71780821917808,62.08219178082192,20.33561643835617,3,1
Kota Pasuruan,2021,1553.82,53.45,5.345000000000001,8304.59,27.556438356164374,31.66876712328767,24.16794520547945,5,1,1913.3,5.241917808219179,193,172,2,75.2,0,0,1,15,9,29,1610.63,4.41268493150685,302.6700000000001,20.449753424657537,95.08219178082192,59.54520547945206,14.219726027397265,0,1
Kota Mojokerto,2021,754.27,58.53,5.853,4414.93,27.7013698630137,33.281643835616435,23.930410958904112,105,1,2282.5,6.253424657534247,203,162,1,51.3,0,0,1,10,7,45,1552.71,4.254,729.79,18.78205479452055,93.37808219178082,51.30958904109589,12.967945205479452,0,1
Kota Madiun,2021,2229.49,60.58,6.058,13505.81,27.04082191780822,31.74383561643836,23.686027397260272,25,0,2315.6,6.344109589041096,221,144,1,58.7,0,0,1,20,10,28,1560.21,4.274547945205479,755.3899999999999,18.411780821917805,91.71506849315068,57.18082191780822,16.3427397260274,0,1
Kota Surabaya,2021,1736.0800000000002,56.64,5.664,9832.67,27.516438356164382,30.563287671232874,24.76821917808219,0,0,2096.4,5.7435616438356165,221,144,0,49.3,0,0,0,13,8,75,1563.4299999999998,4.283369863013698,532.9700000000003,19.498027397260277,92.73424657534248,63.342465753424655,16.17287671232877,0,1
Kota Batu,2021,825.39,69.67,6.9670000000000005,5750.19,21.526849315068493,25.08602739726028,18.927671232876712,0,332,3932.2,10.773150684931506,272,93,13,143.6,1,0,2,24,7,67,1182.11,3.238657534246576,2750.09,17.163205479452053,98.15616438356165,70.8958904109589,9.9013698630137,0,2
Pacitan,2022,17831.47,50.71,5.071,90428.21,26.17095890410959,28.96794520547945,24.049041095890416,0,0,2825.5999999999995,7.741369863013698,291,74,1,52.7,0,0,1,23,13,38,1325.13,3.630493150684932,1500.4699999999991,18.05539726027397,93.35890410958903,74.56712328767124,14.79041095890411,0,2
Ponorogo,2022,62964.37,57.08,5.708,359413.77,26.57397260273973,31.026027397260275,23.40767123287671,1,0,2753.5,7.543835616438356,245,120,2,54.5,0,0,1,24,13,31,1496.43,4.099808219178082,1257.07,18.44309589041096,91.586301369863,61.38630136986301,16.805479452054794,0,0
Trenggalek,2022,22026.97,52.55,5.255,115758.01,25.42465753424657,28.872602739726027,22.930410958904105,0,3,2590.3,7.096712328767124,293,72,3,53.7,0,0,1,29,12,31,1230.23,3.3704931506849314,1360.0700000000002,16.8613698630137,95.28219178082192,72.73972602739725,12.801917808219178,0,1
Tulungagung,2022,39531.25,52.42,5.242,207217.26,25.649315068493152,29.738630136986306,22.76438356164384,0,4,2893.3,7.926849315068494,302,63,0,49.8,0,0,0,23,14,38,1312.34,3.595452054794521,1580.96,17.610602739726026,96.93150684931508,68.44657534246575,12.695068493150687,0,0
Blitar,2022,34137.74,63.12,6.311999999999999,215482.79,24.883013698630133,28.814520547945204,22.01835616438356,0,11,3161.2000000000003,8.660821917808219,292,73,3,79.2,1,0,2,24,15,44,1298.21,3.556739726027397,1862.99,17.75994520547945,96.2082191780822,70.11780821917809,14.971506849315068,0,1
Kediri,2022,29379.86,57.47,5.747,168853.55000000002,25.60328767123288,29.293972602739725,23.226301369863016,0,0,4287.799999999999,11.74739726027397,280,85,17,82.8,4,0,2,21,11,46,1375.09,3.767369863013699,2912.709999999999,18.30049315068493,94.03287671232876,69.2958904109589,16.002191780821917,0,1
Malang,2022,45901.91,59.17,5.917,271606.78,23.67315068493151,27.695342465753427,20.765479452054795,0,41,2782.5,7.623287671232877,280,85,0,41.6,0,0,0,21,14,49,1280.54,3.508328767123288,1501.96,18.12158904109589,97.5917808219178,69.9041095890411,15.544383561643835,0,1
Lumajang,2022,55042.5,54.65,5.465,300829.01,25.424109589041095,29.29808219178082,22.615068493150684,0,7,3072.2,8.416986301369862,320,45,0,45.7,0,0,0,25,15,40,1294.05,3.5453424657534245,1778.15,17.775287671232874,95.93424657534248,71.69589041095891,12.209315068493147,0,1
Jember,2022,118489.25,51.26,5.126,607371.19,26.09287671232877,30.326849315068497,22.9427397260274,0,4,2742.0,7.512328767123288,264,101,0,44.7,0,0,0,25,11,27,1359.99,3.726,1382.01,18.06095890410959,94.58356164383562,65.74794520547945,11.496986301369864,0,1
Banyuwangi,2022,76748.03,60.22,6.022,462205.98,26.011780821917807,29.53506849315068,23.418904109589047,0,0,1492.2,4.088219178082192,268,97,0,38.8,0,0,0,40,14,15,1426.76,3.908931506849315,65.44000000000005,19.103780821917805,94.13424657534246,66.89041095890411,13.933972602739724,0,1
Bondowoso,2022,48240.7,49.48,4.948,238677.65,24.878904109589044,29.20767123287671,21.7827397260274,0,10,1912.1000000000004,5.238630136986302,220,145,2,75.6,1,0,2,18,10,29,1427.62,3.911287671232877,484.4800000000005,18.994246575342466,93.9972602739726,63.36164383561644,14.287945205479453,0,1
Situbondo,2022,26784.22,52.88,5.288,141628.0,25.99013698630137,29.869315068493147,23.08630136986301,0,1,2848.7,7.804657534246575,268,97,0,49.2,0,0,0,23,10,44,1524.73,4.177342465753425,1323.9699999999998,20.176931506849314,93.0164383561644,64.77534246575343,13.729863013698631,0,1
Probolinggo,2022,33503.12,55.34,5.534000000000001,185412.51,27.2358904109589,30.65095890410959,24.749863013698636,0,0,1877.1,5.142739726027397,225,140,0,38.2,0,0,0,27,11,24,1695.5300000000002,4.645287671232877,181.5699999999997,19.88183561643835,87.67397260273972,63.21643835616438,19.6572602739726,3,2
Pasuruan,2022,47384.82,52.18,5.218,247255.72,27.14109589041096,31.287397260273977,23.8813698630137,1,1,2203.6,6.037260273972603,217,148,0,36.2,0,0,0,24,10,25,1562.73,4.281452054794521,640.8699999999999,20.46021917808219,96.8,62.50684931506849,13.329315068493152,0,1
Sidoarjo,2022,31368.74,62.02,6.202,194540.45,26.734794520547947,30.463561643835614,23.83671232876712,0,0,3041.1000000000004,8.331780821917809,237,128,0,47.4,0,0,0,20,10,51,1520.89,4.166821917808218,1520.2100000000005,20.10928767123288,97.64109589041097,64.52054794520548,14.53972602739726,0,1
Mojokerto,2022,49395.45,57.06,5.706,281829.41,26.36438356164384,31.44684931506849,22.92876712328767,23,1,2763.7,7.571780821917808,245,120,1,53.9,0,0,1,17,11,67,1456.6,3.990684931506849,1307.1,18.95106849315069,93.81917808219178,59.16712328767123,12.065479452054795,0,0
Jombang,2022,54896.68,61.42,6.142,337172.14,26.1427397260274,31.687671232876717,22.80301369863014,6,2,3713.3,10.173424657534246,264,101,3,66.0,0,0,1,19,12,39,1447.46,3.9656438356164383,2265.84,18.87432876712329,96.92602739726028,59.99452054794521,12.194520547945206,0,1
Nganjuk,2022,70331.77,53.53,5.353,376476.43,26.479726027397263,31.053424657534247,23.12410958904109,4,1,2458.5,6.735616438356164,237,128,0,48.5,0,0,0,22,10,30,1529.9,4.1915068493150685,928.6,18.83030136986301,92.86575342465754,61.25479452054795,16.350136986301372,0,0
Madiun,2022,73061.53,54.96,5.496,401573.69,26.67178082191781,31.46164383561644,23.42246575342466,14,0,2786.0,7.632876712328767,241,124,1,59.6,0,0,1,24,11,45,1525.2000000000005,4.178630136986302,1260.7999999999995,18.58358904109589,92.12876712328767,59.53972602739726,16.108767123287674,0,0
Magetan,2022,43965.490000000005,60.66,6.066,266699.89,24.738630136986306,28.60054794520548,22.3613698630137,0,0,4849.9,13.287397260273972,271,94,24,103.1,5,2,5,22,10,44,1456.9299999999998,3.99158904109589,3392.97,18.817205479452053,91.66301369863014,65.46301369863014,15.215616438356165,0,0
Ngawi,2022,128585.79,58.79,5.879,755938.95,26.31013698630137,31.096164383561646,23.18493150684932,2,0,3314.2,9.08,256,109,0,49.0,0,0,0,23,13,41,1512.14,4.142849315068493,1802.06,19.01504109589041,93.71506849315068,61.91232876712328,15.852876712328769,0,0
