kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Magetan,2018,45514.310000000005,63.6,6.36,289458.37,25.209863013698627,29.66794520547945,22.36602739726027,0,7,3360.5000000000005,9.206849315068494,170,195,19,101.8,4,2,4,11,5,73,1707.5,4.678082191780822,1653.0000000000005,19.770958904109584,86.53424657534246,54.81643835616438,18.36438356164384,0,2
Ngawi,2018,121760.76,61.33,6.133,746762.6,27.362191780821917,32.58438356164383,23.804931506849314,62,0,1583.6,4.338630136986302,157,208,3,60.7,0,0,1,17,8,26,1808.84,4.955726027397261,-225.24,19.883068493150684,86.57808219178082,49.63013698630137,18.85013698630137,0,1
Bojonegoro,2018,134770.37999999998,55.84,5.5840000000000005,752513.4,27.48657534246576,32.72575342465753,23.7145205479452,78,0,1581.6,4.333150684931507,168,197,2,76.5,0,0,1,16,8,51,1675.14,4.589424657534247,-93.53999999999996,19.394657534246576,90.08767123287672,50.16438356164384,15.336164383561645,0,2
Tuban,2018,95854.59,58.86,5.886,564241.12,26.855890410958903,30.83945205479452,23.82191780821918,0,0,1781.4999999999998,4.880821917808219,204,161,1,57.3,0,0,1,11,8,78,1625.39,4.453123287671233,156.10999999999967,20.30854794520548,90.12602739726027,58.44109589041096,15.402465753424655,0,1
Lamongan,2018,144781.98,61.93,6.193,896652.91,27.75945205479452,31.94219178082192,24.36219178082192,12,0,1405.7,3.851232876712329,173,192,0,31.3,0,0,0,14,7,63,1696.75,4.648630136986301,-291.04999999999995,20.19441095890411,89.43561643835616,53.1945205479452,16.688219178082193,0,2
Gresik,2018,57721.64,60.93,6.093,351702.39,27.52301369863014,30.87123287671233,24.618356164383563,0,0,1209.5,3.313698630136986,163,202,0,31.8,0,0,0,15,8,43,1654.5,4.532876712328767,-445.0,20.191369863013698,90.57534246575342,56.90958904109589,17.083013698630136,0,1
Bangkalan,2018,40957.48,59.5,5.95,243711.73,26.80054794520548,30.22301369863014,24.10684931506849,0,0,1879.0,5.147945205479452,239,126,1,54.0,0,0,1,18,8,84,1607.43,4.4039178082191786,271.56999999999994,20.3612602739726,91.93150684931508,61.48219178082192,16.36082191780822,0,2
Sampang,2018,37723.93,50.11,5.011,189040.08,27.94767123287671,31.117534246575342,25.62328767123288,0,0,1181.1,3.235890410958904,140,225,2,66.5,0,0,1,17,9,18,1808.03,4.953506849315069,-626.9300000000003,20.44928767123288,86.1917808219178,56.74794520547945,19.513150684931507,1,1
Pamekasan,2018,21977.78,51.95,5.195,114179.46,26.99972602739726,30.553424657534247,24.240273972602743,0,0,1361.8000000000002,3.7309589041095896,143,222,0,37.3,0,0,0,17,7,26,1592.26,4.362356164383562,-230.4599999999998,20.097753424657537,92.58082191780822,57.65205479452055,14.04109589041096,0,1
Sumenep,2018,46193.41,55.91,5.590999999999999,258284.99,26.93780821917808,30.304931506849314,24.260547945205477,0,0,1694.1,4.641369863013699,178,187,0,33.9,0,0,0,14,6,49,1649.27,4.518547945205479,44.82999999999993,20.96249315068493,93.56986301369864,60.98630136986301,14.521095890410962,0,2
